Index,Movie,Reco
0,Avatar,"['The Avengers', 'Batman v Superman: Dawn of Justice', 'The Hunger Games', 'Man of Steel', 'Jurassic World', 'Star Wars: Episode I - The Phantom Menace']"
1,Pirates of the Caribbean: At World's End,"[""Pirates of the Caribbean: Dead Man's Chest"", 'Pirates of the Caribbean: On Stranger Tides', 'Pirates of the Caribbean: The Curse of the Black Pearl', 'The Lone Ranger', 'Public Enemies', 'Into the Woods']"
2,Spectre,"['Pacific Rim', 'Argo', 'Star Trek Into Darkness', 'The Amazing Spider-Man', 'The Social Network', 'Captain America: The First Avenger']"
3,The Dark Knight Rises,"['The Avengers', 'Batman v Superman: Dawn of Justice', 'The Hunger Games', 'Avatar', 'Man of Steel', 'Jurassic World']"
4,John Carter,"['The Bourne Legacy', 'Bridesmaids', 'Sucker Punch', ""We're the Millers"", 'The Incredible Hulk', 'The Maze Runner']"
5,Spider-Man 3,"['Spider-Man 3', 'Spider-Man 2', 'Spider-Man', 'For Love of the Game', 'Oz the Great and Powerful', 'Oz the Great and Powerful']"
6,Tangled,"['Wreck-It Ralph', 'The Blind Side', 'Men in Black 3', 'Big Hero 6', 'Despicable Me', ""We're the Millers""]"
7,Avengers: Age of Ultron,"['Guardians of the Galaxy', 'The Hunger Games', 'The Hunger Games: Catching Fire', 'X-Men: Days of Future Past', 'Man of Steel', 'Deadpool']"
8,Harry Potter and the Half-Blood Prince,"['Harry Potter and the Order of the Phoenix', 'Harry Potter and the Prisoner of Azkaban', 'Harry Potter and the Goblet of Fire', 'The Amazing Spider-Man 2', 'Harry Potter and the Chamber of Secrets', 'Independence Day']"
9,Batman v Superman: Dawn of Justice,"['The Hunger Games', 'Man of Steel', 'Jurassic World', 'Mad Max: Fury Road', 'Gravity', 'The Avengers']"
10,Superman Returns,"['American Beauty', 'The Usual Suspects', 'Horrible Bosses', 'L.A. Confidential', 'Moon', ""A Bug's Life""]"
11,Quantum of Solace,"['Terminator 3: Rise of the Machines', 'The Day After Tomorrow', 'Ratatouille', 'The Village', 'The Incredibles', 'Tangled']"
12,Pirates of the Caribbean: Dead Man's Chest,"['Pirates of the Caribbean: The Curse of the Black Pearl', ""Pirates of the Caribbean: At World's End"", 'Pirates of the Caribbean: On Stranger Tides', 'The Lone Ranger', 'Into the Woods', 'Public Enemies']"
13,The Lone Ranger,"['Into the Woods', 'Rango', 'Black Mass', 'Public Enemies', 'Pirates of the Caribbean: On Stranger Tides', 'Transcendence']"
14,Man of Steel,"['The Hunger Games', 'Gravity', 'Guardians of the Galaxy', 'Jurassic World', 'Skyfall', 'Skyfall']"
15,The Chronicles of Narnia: Prince Caspian,"['xXx', 'The Chronicles of Riddick', 'The Perfect Storm', 'The World Is Not Enough', 'Hitch', 'Jarhead']"
16,The Avengers,"['The Dark Knight Rises', 'The Hunger Games', 'Batman v Superman: Dawn of Justice', 'Avatar', 'Jurassic World', 'Man of Steel']"
17,Pirates of the Caribbean: On Stranger Tides,"['Into the Woods', 'The Lone Ranger', ""Pirates of the Caribbean: At World's End"", 'Rango', 'Black Mass', ""Pirates of the Caribbean: Dead Man's Chest""]"
18,Men in Black 3,"['Wreck-It Ralph', 'Brave', 'Big Hero 6', 'Cinderella', 'Cinderella', 'Teenage Mutant Ninja Turtles']"
19,The Hobbit: The Battle of the Five Armies,"['The Hobbit: The Desolation of Smaug', 'The Lovely Bones', 'The Lovely Bones', 'The Lord of the Rings: The Two Towers', 'The Hobbit: An Unexpected Journey', 'The Lord of the Rings: The Return of the King']"
20,The Amazing Spider-Man,"['Star Trek Into Darkness', 'Star Trek', 'Spectre', 'The Hunger Games: Catching Fire', 'Frozen', 'Inglourious Basterds']"
21,Robin Hood,"['Black Hawk Down', 'The Counselor', 'Alien', 'A Good Year', 'G.I. Jane', 'Black Rain']"
22,The Hobbit: The Desolation of Smaug,"['The Hobbit: The Battle of the Five Armies', 'The Lord of the Rings: The Two Towers', 'The Hobbit: An Unexpected Journey', 'The Lord of the Rings: The Return of the King', 'The Lovely Bones', 'The Lovely Bones']"
23,The Golden Compass,"['Percy Jackson & the Olympians: The Lightning Thief', 'G.I. Joe: The Rise of Cobra', '2 Fast 2 Furious', 'Yes Man', 'Mamma Mia!', 'xXx']"
24,King Kong,"['King Kong', 'King Kong', 'The Lord of the Rings: The Two Towers', 'The Hobbit: The Battle of the Five Armies', 'The Hobbit: The Desolation of Smaug', 'The Lord of the Rings: The Return of the King']"
25,Titanic,"['The Revenant', 'Django Unchained', 'Inception', 'The Great Gatsby', 'The Great Gatsby', 'Blood Diamond']"
26,Captain America: Civil War,"['Iron Man', 'Iron Man 2', 'Iron Man 3', 'Sherlock Holmes', 'Sherlock Holmes: A Game of Shadows', 'Zodiac']"
27,Battleship,"['The Grey', 'Clash of the Titans', 'Clash of the Titans', 'Taken 2', 'Non-Stop', 'Unknown']"
28,Jurassic World,"['Man of Steel', 'The Hunger Games', 'Gravity', 'Guardians of the Galaxy', 'Batman v Superman: Dawn of Justice', 'Deadpool']"
29,Skyfall,"['Skyfall', 'Guardians of the Galaxy', 'Deadpool', 'Gone Girl', 'Star Trek Into Darkness', 'Man of Steel']"
30,Spider-Man 2,"['Spider-Man 3', 'Spider-Man 3', 'Spider-Man', 'For Love of the Game', 'Oz the Great and Powerful', 'Oz the Great and Powerful']"
31,Iron Man 3,"['Captain America: Civil War', 'Iron Man', 'Iron Man 2', 'Sherlock Holmes', 'Sherlock Holmes: A Game of Shadows', 'Zodiac']"
32,Alice in Wonderland,"['Alice in Wonderland', 'Charlie and the Chocolate Factory', 'Dark Shadows', 'Edward Scissorhands', 'Corpse Bride', 'Ed Wood']"
33,X-Men: The Last Stand,"['X-Men', 'X-Men 2', 'X-Men Origins: Wolverine', 'The Wolverine', 'Real Steel', 'Prisoners']"
34,Monsters University,"['Monsters, Inc.', 'Hotel Transylvania', 'Grown Ups', 'Con Air', 'Hotel Transylvania 2', 'Big Daddy']"
35,Transformers: Revenge of the Fallen,"['Transformers: Dark of the Moon', 'Transformers', 'Transformers: Age of Extinction', 'Pearl Harbor', 'Bad Boys II', '13 Hours']"
36,Transformers: Age of Extinction,"['Transformers: Dark of the Moon', 'Transformers: Revenge of the Fallen', 'Pearl Harbor', 'Transformers', '13 Hours', 'Bad Boys II']"
37,Oz the Great and Powerful,"['Oz the Great and Powerful', 'Drag Me to Hell', 'The Evil Dead', 'Army of Darkness', 'Evil Dead II', 'A Simple Plan']"
38,The Amazing Spider-Man 2,"['Captain America: The First Avenger', 'The Hangover', 'X-Men: First Class', 'Suicide Squad', 'Harry Potter and the Prisoner of Azkaban', 'Ted']"
39,TRON: Legacy,"['TRON: Legacy', 'The Giver', 'Seabiscuit', 'Crazy Heart', 'Arlington Road', 'The Little Prince']"
40,Cars 2,"['Shrek Forever After', ""Madagascar 3: Europe's Most Wanted"", 'Monsters vs. Aliens', 'Identity Thief', 'Puss in Boots', 'Fantastic 4: Rise of the Silver Surfer']"
41,Green Lantern,"['The Green Hornet', 'Prince of Persia: The Sands of Time', 'Cinderella', 'Cinderella', 'The Bourne Legacy', 'Battle Los Angeles']"
42,Toy Story 3,"['Captain Phillips', 'The Green Mile', 'Cloud Atlas', 'Toy Story', 'Toy Story 2', 'Saving Mr. Banks']"
43,Terminator Salvation,"['American Psycho', 'The Fighter', '3:10 to Yuma', 'Equilibrium', 'The Machinist', ""Howl's Moving Castle""]"
44,Furious 7,"['The Expendables 2', 'The Expendables', 'Snatch', 'The Expendables 3', 'The Italian Job', 'Lock, Stock and Two Smoking Barrels']"
45,World War Z,"['Black Swan', 'Deadpool', 'Star Trek Into Darkness', 'Inside Out', 'Guardians of the Galaxy', 'Gone Girl']"
46,X-Men: Days of Future Past,"['Silver Linings Playbook', 'The Hunger Games: Catching Fire', 'American Hustle', 'Thor', 'X-Men: First Class', 'Black Swan']"
47,Star Trek Into Darkness,"['The Amazing Spider-Man', 'Spectre', 'Argo', 'Black Swan', 'Inside Out', 'World War Z']"
48,Jack the Giant Slayer,"['Where the Wild Things Are', 'Identity Thief', 'Jack Ryan: Shadow Recruit', 'Rock of Ages', 'The Host', 'The Internship']"
49,The Great Gatsby,"['The Great Gatsby', 'The Revenant', 'Blood Diamond', 'Revolutionary Road', 'Romeo + Juliet', 'The Beach']"
50,Prince of Persia: The Sands of Time,"['The Green Hornet', 'The Heat', 'Battle Los Angeles', 'Star Trek Beyond', ""The Hitchhiker's Guide to the Galaxy"", 'Pitch Perfect 2']"
51,Pacific Rim,"['The Social Network', 'Argo', 'Spectre', 'Ted', ""The King's Speech"", 'Captain America: The First Avenger']"
52,Transformers: Dark of the Moon,"['Transformers: Age of Extinction', 'Transformers: Revenge of the Fallen', 'Transformers', 'Pearl Harbor', 'Bad Boys II', '13 Hours']"
53,Indiana Jones and the Kingdom of the Crystal Skull,"['Raiders of the Lost Ark', 'Indiana Jones and the Last Crusade', 'Indiana Jones and the Temple of Doom', 'Jurassic Park', 'E.T. the Extra-Terrestrial', 'Jaws']"
54,The Good Dinosaur,"['Where the Wild Things Are', 'Dracula Untold', 'Puss in Boots', 'The Visit', 'Insidious: Chapter 2', 'Jack Ryan: Shadow Recruit']"
55,Brave,"['The Hangover Part II', 'Big Hero 6', 'Men in Black 3', 'Wreck-It Ralph', 'Super 8', 'Despicable Me 2']"
56,Star Trek Beyond,"['Unbroken', 'The Heat', 'Trainwreck', 'The Conjuring 2', 'Prince of Persia: The Sands of Time', 'Need for Speed']"
57,WALL·E,"['Up', 'Finding Nemo', 'I Am Legend', 'The Hangover', 'Kill Bill: Vol. 1', 'No Country for Old Men']"
58,Rush Hour 3,"['Wild Hogs', 'Fun with Dick and Jane', 'Bee Movie', 'Starsky & Hutch', 'Rio 2', 'Cloudy with a Chance of Meatballs']"
59,2012,"[""Don't Say a Word"", 'Executive Decision', 'Doctor Dolittle', 'Lake Placid', 'Simon Birch', 'Martian Child']"
60,A Christmas Carol,"['Beowulf', 'The Walk', 'Back to the Future Part II', 'Back to the Future Part III', 'Back to the Future', 'Death Becomes Her']"
61,Jupiter Ascending,"['G.I. Joe: Retaliation', 'White House Down', '22 Jump Street', '21 Jump Street', 'The Vow', 'This Is the End']"
62,The Legend of Tarzan,"['No Strings Attached', 'Immortals', 'Identity Thief', 'Ice Age: Continental Drift', 'The Golden Compass', 'I Am Number Four']"
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","['Moulin Rouge!', 'Robots', 'Another Year', 'Around the World in 80 Days', 'Around the World in 80 Days', 'Arthur Christmas']"
64,X-Men: Apocalypse,"['Fast Five', 'Crazy, Stupid, Love.', 'Snow White and the Huntsman', 'Love Actually', 'The Notebook', 'Die Hard']"
65,The Dark Knight,"['Batman Begins', 'The Prestige', 'The Dark Knight Rises', 'Avatar', 'The Avengers', 'The Matrix']"
66,Up,"['WALL·E', 'Finding Nemo', 'I Am Legend', 'The Hangover', 'Frozen', 'The Lion King']"
67,Monsters vs. Aliens,"['Shrek Forever After', 'Rush Hour 2', 'The Mummy: Tomb of the Dragon Emperor', 'Puss in Boots', 'Madagascar: Escape 2 Africa', 'Wild Hogs']"
